,Word,Frequency
251,(18)fancyfeet393YUM3wReplysuperlechonphNah...,1
252,Still,1
253,Italy2wReplythe_lazyycookWow2wReplytamia_b2@taibryn_basisky,1
254,omg,1
255,wish,2
256,still,12
257,lived,1
258,there,2
259,😭😭2wReplyJanuary,1
260,1Post,1
261,"buzzfeedfoodVerified•Follow124,232",1
262,viewsbuzzfeedfoodVerifiedSushi,1
263,+,1
264,sustainability,1
265,=,1
266,dream,1
267,come,5
268,true!,1
269,🍣Follow,1
270,world!,2
271,✈️.....#bringme,1
272,#portlandtravel,1
273,#sushirestuarant,1
274,#sushi,1
275,#oregontravel,1
276,#sustainability26wdaniel_brenisBest,1
277,👉🏽,1
278,@ftlof1016w2,1
279,likesReply_itz_my_world_bitchezHey,1
280,guys,1
281,some,5
282,pics,1
283,@beauty_full_food5w1,1
284,likeReplythestallyshowIf,1
285,you’re,5
286,reading,1
287,"this,",1
288,channel.,1
289,cook,2
290,Caribbean,1
291,stuff,1
292,😀4w1,1
293,(1)foodie_lifexThis,1
294,needs,1
295,bucket,1
296,list,1
297,sure!4w1,1
298,(1)food_the_fascinationHi,1
299,✌️,1
300,just,10
301,created,1
302,this,45
303,instagram.,2
304,It,1
305,would,8
306,mean,2
307,lot,4
308,Thank,2
309,y’all,2
310,😍❤️3w1,1
311,likeReply_jentre_heyyyhttps://youtu.be/C3hOSBFJdBo3wReplyprimaldough😨😨😨🤤🤤🤤🤤2wReplyin_spirantPlease,1
312,plenty,2
313,recipes2wReplyView,1
314,(2)the_lazyycook❤️❤️2wReplyscuruchiVerified❤️2wReplyView,1
315,(1)indiantravellerji❤️❤️❤️6dReplyissafif11@adriana_melhem,1
316,@grazieelmelhem4d1,1
317,(2)December,1
318,"31,",1
319,2019Post,5
320,"buzzfeedfoodVerified•Follow125,003",1
321,viewsbuzzfeedfoodVerifiedThese,1
322,are,19
323,cheesecake,2
324,tea,1
325,cups,2
326,I'll,2
327,take,5
328,one,12
329,EVERYTHING.,1
330,😍🍰Follow,1
331,✈️27wbooboobeleits,1
332,good2w1,1
333,likeReplyglitzycupcakeslaAMAZING,1
334,✨🧁2wReplythe_lazyycookThis,1
335,awesome2wReplysilent_knight_000Food,1
336,art,1
337,lovers,1
338,@hiyaar_majhe,1
339,❤️2wReplyhouserestooYum🔥1wReplybudmother_official😍😍🤤🤤1wReplyaka__mithrandirFollow,1
340,:,4
341,@that_cooking_chic,1
342,exclusive,2
343,recipes1w1,1
344,likeReply4forkspearsWow,1
345,😋,5
346,need,8
347,this.,1
348,Please,2
349,"check,",1
350,@4forkspears1wReplyvickie_nights👏3dReply___kanika_sharma@1_dm_,1
351,kb,1
352,khae??2d1,1
353,(1)vello_2020My,1
354,stomachs,1
355,growling,1
356,now17hReplyhendrina28So,1
357,delicious17hReplyDecember,1
358,"22,",1
359,"buzzfeedfoodVerified•Follow78,560",1
360,pickle,1
361,beer,1
362,flights,1
363,with,29
364,southern,1
365,twist!,1
366,🍻Follow,1
367,all,17
368,✈️27wszzlteaGood,1
369,restaurant15wReplyView,1
370,(1)emilyy_mac@itsdickison14wReply692mommyshark@dianapphillipss,1
371,favvv13w1,1
372,(2)foodunterWowww!!,1
373,So,2
374,😁9wReplyindigenousmama_The,1
375,nasty,1
376,lol9wReplydanielleruckert@julgilbride,1
377,next,2
378,time,7
379,I’m,6
380,nyc,1
381,here??8wReply162frank@samantha_anne6136wReplybeerbiryani2020For,1
382,@beerbiryani20206wReplybeerbiryani2020@rjmanvitha6wReplynicolenorn@dannytilley5wReplyjalnafoodexplorersTry,1
383,sometime,1
384,The,7
385,Indian,1
386,Pickles.....,1
387,😍😍😍😍5wReplymochichanie@ctlkip4dReplyDecember,1
388,"21,",1
389,"buzzfeedfoodVerified•Follow142,781",1
390,viewsbuzzfeedfoodVerifiedCozy,1
391,at,15
392,hot,4
393,chocolate,3
394,café!,1
395,They,3
396,50,1
397,different,1
398,kinds!,1
399,☕️🍫Follow,1
400,✈️27wlittlelifetableYummmmmmm,1
401,🍫🍫🍫🍫21w1,1
402,likeReplyclaudz_privv@kathyunfiltered_16w1,1
403,likeReplync_rayyy@angelicanavedo,1
404,trip,1
405,😍12w2,1
406,(1)luscinia_onlineshopTasty10w1,1
407,likeReplyjaz_goddard@sam_kleen12,1
408,try,7
409,this10w1,1
410,likeReply_plami__This,1
411,perfect,1
412,😊✨💛💛10w1,1
413,likeReplytomstailgatemexigrill❤️10w1,1
414,likeReplycreatedbitesFollow,1
415,awesome,2
416,coffees7wReplyfiona_butchart@svehloka,1
417,does,4
418,exist??4wReplyView,1
419,(1)zara_zutshiYou,1
420,great,3
421,recipes..,1
422,let's,1
423,each,4
424,other,3
425,https://www.youtube.com/channel/UCFTU0xkS8uan_yEcbYXeCpg2wReplyyesitsme.shelbyokay,1
426,its,2
427,drinking,1
428,melted,1
429,chocolate?4dReplyvello_2020Ahhhhhhh!!!!!,1
430,I'm,5
431,gonna,3
432,insane!,1
433,want,7
434,sooo,2
435,bad.17hReplyDecember,1
436,"19,",1
437,"buzzfeedfoodVerified•Follow165,697",1
438,viewsbuzzfeedfoodVerifiedThanks,1
439,dairy-free,1
440,blueberry,1
441,lime,1
442,“cheesecake”,1
443,recipe,7
444,@goodful,1
445,😍🤤29wjalnafoodexplorers😍😍😍😍😍😍5wReplyjalnafoodexplorers😍😍😍😍😍😍😍5wReplyjalnafoodexplorers😍😍😍😍😍😍😍😍5wReplyjalnafoodexplorers😍😍😍😍😍😍😍😍😍😍5wReplyjalnafoodexplorers😍😍😍😍😍😍😍😍5wReplytheguiltfreekitchen😍🤤5wReplysweetandspicy.byjFollow,1
446,every,2
447,single,1
448,day!!😍5wReplyrealyoungstuntzLooking,1
449,good4wReplyfoodideasdailyFollow,1
450,daily,2
451,healthy,1
452,delicious,8
453,@foodideasdaily3wReplythemoodyblondeI,1
454,say,3
455,super,1
456,small,1
457,price,1
458,rest,2
459,cake😂😂😂3wReplycuizineblogAmazing👏👏😍2wReplyaka__mithrandir@that_cooking_chic1w1,1
460,likeReplyDecember,1
461,"6,",1
462,foodgodVerified•FollowL&B,1
463,Spumoni,1
464,"Gardens202,094",1
465,viewsfoodgodVerifiedBIG,1
466,SURPRISE!!17havabracciaYou,1
467,went,1
468,l&b,1
469,didn't,1
470,square,1
471,slice?!13h1,1
472,(2)rossana_marieI,1
473,can’t,2
474,believe,1
475,were,1
476,neighborhood,1
477,again,2
478,missed,1
479,you17h4,1
480,likesReplymaddieeatsacake🍴17h3,1
481,likesReplyregancrooks19👀17h3,1
482,likesReplyhumanbeing098🍴17h2,2
483,likesReplykimba6134🍴17h2,1
484,likesReplyshayandeaverThat,1
485,dopeeee,1
486,🔥🔥17h2,1
487,likesReplyjess_scheezy_parreezyFaveeeeeeeeeee17h2,1
488,(1)kylie_cs🔥🔥17h2,1
489,likesReplyarnosaurs🍴🍴🍴🍴🍴🍴17h2,1
490,likesReplygill.allegra🍴17h2,1
491,likesReply17,1
492,hours,13
493,agoPost,26
494,"foodgodVerified•Follow361,604",1
495,viewsfoodgodVerifiedAre,1
496,trying,1
497,Ice,2
498,Jelly,1
499,NOT???⁣⁣⁣📹,1
500,@kuliner_lampung5dalejenesOrang,1
501,barat,1
502,tau,1
503,cincau,1
504,juga,1
505,😀5d16,1
506,(30)kuliner_lampungThankyouu,1
507,😍😍5d15,1
508,(1)fvolyon😋5d6,1
509,likesReplyfvolyon😋😘,1
510,kiss,1
511,from,7
512,France,1
513,😍5d6,1
514,likesReplyflor_o_pardo😋5d4,2
515,likesReplydanshortland96😋😋😋😋😋5d3,1
516,likesReplyfarid_77_88👍5d3,1
517,likesReplytiajzhaneWhere,1
518,find,3
519,😩5d2,1
520,(7)lilybee05Negative5d6,1
521,likesReplyian.bo.bianNope5d6,1
522,likesReplyericalynn6910Not5d5,1
523,likesReply5,2
524,days,16
525,"foodgodVerified•Follow586,119",1
526,viewsfoodgodVerified@EnjoyNoshMates,1
527,Watermelon,1
528,🍉,1
529,Fruit,1
530,Jerkyis,1
531,greatest,1
532,thing,6
533,since,2
534,sliced,1
535,bread,4
536,😍Go,1
537,grab,1
538,own,4
539,now,5
540,@Costco,1
541,#NoshMatespartner,1
542,#Costco1warminenWhere,1
543,running?1w18,1
544,(2)hunterfieriVerifiedHaha,1
545,character,1
546,dude,1
547,it1w25,1
548,(1)elohorekureWhat's,1
549,watermelon,3
550,without,2
551,water1w48,1
552,(6)maddieeatsacakeHow,1
553,jerky,1
554,taste?1w7,1
555,(5)arnosaursHi,1
556,foodgod....why,1
557,did,4
558,deleted,1
559,this??♥️🔥,1
560,Dm??♥️1w2,1
561,(2)mat_tzSo,1
562,telling,1
563,holding,1
564,nearly,1
565,70,1
566,lbs,1
567,handed,2
568,ease,1
569,🤔1w14,1
570,(3)winnie_sportsgirlDid,1
571,jump,2
572,pool?1w11,1
573,(3)beccabear5321But,1
574,ya,2
575,pool,1
576,end,2
577,nah?1w13,1
578,(2)legendary_legacy1I’ll,1
579,stick,1
580,seeded,1
581,fruit,1
582,when,4
583,it’s,3
584,fresh.1w22,1
585,likesReplyyaa.donlyThere’s,1
586,nothing,1
587,fresh,3
588,watermelon..,1
589,I’ll,1
590,🤷🏽‍♀️1w18,1
591,(2)bossbitchgirll🍉1w7,1
592,(1)tonyajoy3🍉🍉🍉🍉🍉1w6,1
593,(1)June,3
594,21Post,2
595,"foodgodVerified•Follow889,828",1
596,viewsfoodgodVerifiedCan,1
597,guess,2
598,what,9
599,is??⁣⁣⁣⁣⁣📹,1
600,Kwai/ddtv11111wdavideinhornVerifiedMarshmallow1w174,1
601,(1)foodgodVerifiedCheck,1
602,game!!,1
603,Link,1
604,bio1w95,1
605,(10)ninimun77Mozzarella!😋😋😋😋1w182,1
606,(12)_the.franchise_MOCHI1w146,1
607,(3)chrisrooyCheeese,1
608,?1w61,1
609,(1)un_basic_creativeCloud,1
610,bread.1w52,1
611,likesReplytheblondetechMochi,1
612,dough?1w35,1
613,(2)zombiemaddcraziiTOFU1w33,1
614,(2)salazar_el_hefeI,1
615,don't,10
616,know,4
617,eat,8
618,it1w35,1
619,likesReplyfer_0720Marshmallow?1w26,1
620,(1)tiramisu_guyI,1
621,am,5
622,journey,2
623,see,4
624,how,9
625,many,3
626,countries,1
627,travel,2
628,brand,1
629,deals,1
630,sponsorships.,1
631,📍1w23,1
632,(2)majeed.alkhatibBuratta1w18,1
633,(3)June,1
634,19Post,1
635,"foodgodVerified•Follow208,561",1
636,viewsfoodgodVerifiedGiving,1
637,gift,1
